Date,Open,High,Low,Close,Volume
2-Jan-14,136.13,136.29,135.19,135.73,568177
31-Dec-13,138.23,139.28,138.06,138.51,366137
30-Dec-13,137.24,138.31,137.06,138.15,195429
27-Dec-13,137.70,138.16,137.49,138.03,491135
26-Dec-13,136.29,137.11,136.18,136.85,196006
24-Dec-13,135.79,136.41,135.78,135.95,137213
23-Dec-13,135.46,135.87,134.93,135.75,255521
20-Dec-13,133.34,134.48,133.34,134.27,263325
19-Dec-13,131.97,133.58,131.62,133.57,419244
18-Dec-13,131.09,132.66,130.32,132.25,362483
17-Dec-13,131.34,131.36,130.43,130.60,474169
16-Dec-13,132.25,132.76,131.62,131.95,348283
13-Dec-13,128.32,128.72,127.77,128.34,287934
12-Dec-13,128.72,129.37,128.50,128.83,421326
11-Dec-13,130.25,130.30,128.80,128.97,440077
10-Dec-13,129.54,130.12,129.04,129.73,174432
9-Dec-13,130.37,130.62,129.80,130.07,233227
6-Dec-13,129.30,130.10,128.89,130.10,357493
5-Dec-13,128.06,128.66,127.28,127.53,218567
4-Dec-13,127.24,128.47,127.16,128.27,371212
3-Dec-13,129.61,130.00,128.90,129.50,488784
2-Dec-13,132.26,132.32,131.33,131.52,231487
29-Nov-13,132.29,132.91,132.12,132.12,147444
27-Nov-13,132.97,133.57,132.89,133.22,241241
26-Nov-13,132.20,132.79,131.84,132.16,470320
25-Nov-13,131.95,132.14,131.61,131.67,129504
22-Nov-13,130.58,131.80,130.39,131.59,442064
21-Nov-13,128.41,129.79,128.29,129.67,612565
20-Nov-13,130.52,130.90,129.35,129.78,288465
19-Nov-13,130.15,130.39,129.35,129.97,206607
18-Nov-13,131.48,131.59,130.14,130.29,166234
15-Nov-13,130.46,130.70,129.98,130.24,292842
14-Nov-13,129.41,130.78,129.36,130.30,296762
13-Nov-13,127.15,128.88,126.90,128.84,187303
12-Nov-13,127.94,128.53,126.90,127.38,145330
11-Nov-13,128.60,129.08,128.04,128.15,180638
8-Nov-13,126.55,128.26,126.38,128.17,446890
7-Nov-13,129.24,129.70,127.43,127.75,483668
6-Nov-13,124.69,125.85,124.58,125.70,474683
5-Nov-13,124.26,125.28,123.46,124.97,591555
4-Nov-13,126.75,127.26,126.38,127.12,414884
1-Nov-13,127.04,127.40,126.66,127.20,279195
31-Oct-13,127.69,128.58,127.17,128.01,380397
30-Oct-13,129.46,129.68,128.09,128.31,219617
29-Oct-13,129.32,129.79,129.08,129.43,252294
28-Oct-13,128.56,129.57,128.11,129.39,873663
25-Oct-13,129.33,129.99,129.08,129.99,715201
24-Oct-13,128.52,129.95,128.28,129.89,958068
23-Oct-13,127.75,128.12,127.27,127.64,887042
22-Oct-13,126.03,127.89,125.95,127.79,840894
21-Oct-13,123.97,124.26,123.60,124.07,183595
18-Oct-13,123.11,124.66,123.04,124.56,207803
